,type,boundary_center_x,boundary_center_y,height,width
68,NILM-intermediate& Superficial,26026.5,29302.5,289,253
69,NILM-intermediate& Superficial,25800.0,30061.0,294,378
70,NILM-intermediate& Superficial,24223.5,29502.5,351,269
71,NILM-intermediate& Superficial,24406.0,29918.5,303,300
72,NILM-intermediate& Superficial,24553.0,30387.5,347,420
73,NILM-intermediate& Superficial,24251.0,30895.0,324,398
74,NILM-intermediate& Superficial,23215.5,31140.0,338,303
75,NILM-intermediate& Superficial,27283.0,30771.5,327,338
76,NILM-intermediate& Superficial,27831.0,29002.5,423,456
77,NILM-intermediate& Superficial,24612.0,31880.0,722,816
78,NILM-intermediate& Superficial,23020.0,30455.5,383,314
79,NILM-intermediate& Superficial,23526.0,33118.0,294,436
80,NILM-intermediate& Superficial,23045.5,32281.5,307,321
81,NILM-intermediate& Superficial,26308.5,32053.5,393,365
82,NILM-intermediate& Superficial,26917.5,32217.0,338,289
83,NILM-intermediate& Superficial,26268.0,33359.5,419,482
84,NILM-intermediate& Superficial,25471.0,35100.0,550,560
85,NILM-intermediate& Superficial,23090.0,33826.5,263,256
86,NILM-intermediate& Superficial,23563.0,33423.0,260,258
87,NILM-intermediate& Superficial,25283.0,35667.0,260,252
88,NILM-intermediate& Superficial,21645.0,41110.0,334,268
89,NILM-intermediate& Superficial,18738.5,41536.0,264,285
90,NILM-intermediate& Superficial,18597.5,42095.0,258,231
91,NILM-intermediate& Superficial,19654.5,42534.5,405,271
92,NILM-intermediate& Superficial,19999.0,42761.0,244,212
93,NILM-intermediate& Superficial,19492.0,44093.5,337,304
94,NILM-intermediate& Superficial,22987.0,43309.5,293,326
95,NILM-intermediate& Superficial,22690.0,44047.5,309,378
96,NILM-intermediate& Superficial,18110.5,41082.5,345,309
97,NILM-intermediate& Superficial,20527.5,41649.0,296,285
98,NILM-intermediate& Superficial,20061.0,41002.0,396,312
99,NILM-intermediate& Superficial,19547.0,40668.0,358,266
100,NILM-Inflammatory cells,20419.5,40778.0,426,285
101,NILM-intermediate& Superficial,19079.5,47587.5,323,309
102,NILM-intermediate& Superficial,17979.0,48649.0,328,252
103,NILM-intermediate& Superficial,16448.5,49077.5,329,307
104,NILM-intermediate& Superficial,17938.5,49874.0,228,285
105,NILM-intermediate& Superficial,17829.5,50219.0,228,241
106,NILM-intermediate& Superficial,21307.0,48756.0,288,396
107,NILM-intermediate& Superficial,19766.0,49968.0,334,304
108,NILM-intermediate& Superficial,20496.0,49843.0,290,276
109,NILM-intermediate& Superficial,20215.5,47256.5,203,361
110,NILM-intermediate& Superficial,14252.5,56285.0,350,391
111,NILM-intermediate& Superficial,13723.0,53967.0,296,266
112,NILM-intermediate& Superficial,15144.0,54086.5,323,318
