,index,type,boundary_center_x,boundary_center_y,height,width
139,139,Lesion,22904.5,40447.0,100,137
140,140,Lesion,24078.5,40312.0,226,201
141,141,Lesion,25322.0,39617.5,143,140
142,142,Lesion,57370.0,36634.5,139,154
143,143,Lesion,74012.0,40203.5,335,210
144,144,Lesion,76921.5,41361.5,105,125
145,145,Lesion,77544.5,41414.5,421,471
146,146,Lesion,78919.0,41847.5,95,164
147,147,Lesion,80633.0,43510.0,254,292
148,148,Lesion,81300.5,44024.0,194,153
149,149,Lesion,82855.5,44307.5,233,195
150,150,Lesion,81795.5,44802.0,172,97
151,151,Lesion,82301.0,42250.5,235,264
152,152,Lesion,81298.0,42262.0,142,118
153,153,Lesion,81290.0,45360.0,152,244
154,154,Lesion,80965.0,46784.5,281,204
155,155,Lesion,77211.0,46293.5,199,194
156,156,Lesion,72697.5,48382.5,305,245
157,157,Lesion,72226.5,49427.5,125,239
158,158,Lesion,70094.0,44524.5,609,696
159,159,Lesion,70950.5,43752.0,334,261
160,160,Lesion,67764.5,42285.0,416,311
161,161,Lesion,55452.0,41118.5,523,354
162,162,Lesion,40971.5,35653.5,155,199
163,163,Lesion,35501.5,32265.0,218,297
164,164,Lesion,34913.5,32073.0,582,261
165,165,Lesion,35277.0,31480.5,399,306
166,166,Lesion,35410.0,31922.0,406,324
167,167,Lesion,36167.5,32380.0,350,253
168,168,Lesion,32698.0,30768.0,252,238
169,169,Lesion,29584.0,35920.0,324,266
170,170,Lesion,24412.5,33802.5,243,311
171,171,Lesion,17347.5,29802.0,268,235
172,172,Lesion,7345.0,29202.5,215,166
173,173,Lesion,7693.0,29826.0,110,232
174,174,Lesion,7578.5,30663.5,167,319
175,175,Lesion,5910.5,33924.0,200,239
176,176,Lesion,10425.0,40503.5,343,190
177,177,Lesion,29039.5,43136.5,177,259
178,178,Lesion,28751.5,43447.5,241,341
179,179,Lesion,42755.5,42864.5,307,217
180,180,Lesion,69519.5,47263.5,513,497
181,181,Lesion,79913.5,49881.5,333,289
182,182,Lesion,78627.0,54476.0,286,144
183,183,Lesion,71646.5,55780.0,326,673
184,184,Lesion,64715.5,52048.5,279,379
185,185,Lesion,44587.0,50273.0,272,186
186,186,Lesion,44276.5,51011.5,139,197
187,187,Lesion,6248.0,49937.5,237,240
188,188,Lesion,5621.5,53869.0,172,275
189,189,Lesion,5444.0,54083.5,199,204
190,190,Lesion,6710.0,54857.5,147,136
191,191,Lesion,10481.0,56446.5,245,240
192,192,Lesion,12567.0,56065.5,177,160
193,193,Lesion,14317.0,56999.5,495,242
194,194,Lesion,15380.5,56693.5,177,95
195,195,Lesion,17488.0,56699.0,280,234
196,196,Lesion,28584.0,56949.0,284,258
197,197,Lesion,32135.0,56753.5,217,234
198,198,Lesion,33759.5,56837.0,128,281
199,199,Lesion,35958.0,57658.0,348,268
200,200,Lesion,44828.0,56648.5,335,456
201,201,Lesion,69511.0,60243.0,234,184
202,202,Lesion,69658.5,60668.0,188,151
203,203,Lesion,71192.5,60796.0,160,265
204,204,Lesion,76689.0,61154.0,84,78
205,205,Lesion,76972.5,61502.0,104,111
206,206,Lesion,62533.0,61922.0,272,446
207,207,Lesion,46396.5,58683.5,239,283
208,208,Lesion,41556.5,61345.5,191,135
209,209,Lesion,39062.5,63937.5,437,483
210,210,Lesion,38973.5,65150.0,116,87
211,211,Lesion,34418.5,74914.0,196,177
212,212,Lesion,34440.0,74736.0,138,210
213,213,Lesion,34908.5,74691.5,117,67
214,214,Lesion,34900.0,74563.5,107,86
215,215,Lesion,38752.5,74296.0,302,277
216,216,Lesion,39041.5,75214.5,105,87
217,217,Lesion,39145.0,75802.0,162,202
218,218,Lesion,44401.5,74818.0,308,197
219,219,Lesion,50945.0,72912.5,355,318
220,220,Lesion,50470.0,72879.5,477,302
221,221,Lesion,52933.5,72386.5,461,335
222,222,Lesion,56847.5,76632.0,248,299
223,223,Lesion,43894.0,79935.5,247,182
224,224,Lesion,41942.5,79525.5,225,159
225,225,Lesion,42042.0,80299.0,166,132
226,226,Lesion,39512.0,43016.5,297,236
227,227,Lesion,40332.5,43589.5,297,105
228,228,Lesion,40807.0,41646.0,96,114
229,229,Lesion,35960.5,38138.0,154,121
230,230,Lesion,34759.5,37187.0,250,207
231,231,Lesion,29794.5,39067.0,178,163
232,232,Lesion,30244.0,39032.0,194,278
